title,price,rating,availability,category,product_url
The Activist's Tao Te Ching: Ancient Advice for a Modern Revolution,32.24,5,In stock,General,https://books.toscrape.com/catalogue/the-activists-tao-te-ching-ancient-advice-for-a-modern-revolution_928/index.html
In the Country We Love: My Family Divided,22.0,4,In stock,General,https://books.toscrape.com/catalogue/in-the-country-we-love-my-family-divided_901/index.html
Join,35.67,5,In stock,General,https://books.toscrape.com/catalogue/join_902/index.html
Judo: Seven Steps to Black Belt (an Introductory Guide for Beginners),53.9,2,In stock,General,https://books.toscrape.com/catalogue/judo-seven-steps-to-black-belt-an-introductory-guide-for-beginners_903/index.html
"Layered: Baking, Building, and Styling Spectacular Cakes",40.11,1,In stock,General,https://books.toscrape.com/catalogue/layered-baking-building-and-styling-spectacular-cakes_904/index.html
Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12),19.92,2,In stock,General,https://books.toscrape.com/catalogue/lumberjanes-vol-3-a-terrible-plan-lumberjanes-9-12_905/index.html
"Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4)",45.61,3,In stock,General,https://books.toscrape.com/catalogue/lumberjanes-vol-1-beware-the-kitten-holy-lumberjanes-1-4_906/index.html
"Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)",46.91,2,In stock,General,https://books.toscrape.com/catalogue/lumberjanes-vol-2-friendship-to-the-max-lumberjanes-5-8_907/index.html
"Mama Tried: Traditional Italian Cooking for the Screwed, Crude, Vegan, and Tattooed",14.02,4,In stock,General,https://books.toscrape.com/catalogue/mama-tried-traditional-italian-cooking-for-the-screwed-crude-vegan-and-tattooed_908/index.html
"Avatar: The Last Airbender: Smoke and Shadow, Part 3 (Smoke and Shadow #3)",28.09,2,In stock,General,https://books.toscrape.com/catalogue/avatar-the-last-airbender-smoke-and-shadow-part-3-smoke-and-shadow-3_881/index.html
"Bitch Planet, Vol. 1: Extraordinary Machine (Bitch Planet (Collected Editions))",37.92,2,In stock,General,https://books.toscrape.com/catalogue/bitch-planet-vol-1-extraordinary-machine-bitch-planet-collected-editions_882/index.html
Bossypants,49.46,2,In stock,General,https://books.toscrape.com/catalogue/bossypants_883/index.html
Burning,28.81,3,In stock,General,https://books.toscrape.com/catalogue/burning_884/index.html
Call the Nurse: True Stories of a Country Nurse on a Scottish Isle,29.14,5,In stock,General,https://books.toscrape.com/catalogue/call-the-nurse-true-stories-of-a-country-nurse-on-a-scottish-isle_885/index.html
Camp Midnight,17.08,4,In stock,General,https://books.toscrape.com/catalogue/camp-midnight_886/index.html
"Codename Baboushka, Volume 1: The Conclave of Death",36.72,4,In stock,General,https://books.toscrape.com/catalogue/codename-baboushka-volume-1-the-conclave-of-death_887/index.html
Crown of Midnight (Throne of Glass #2),43.29,3,In stock,General,https://books.toscrape.com/catalogue/crown-of-midnight-throne-of-glass-2_888/index.html
The Stranger,17.44,4,In stock,General,https://books.toscrape.com/catalogue/the-stranger_861/index.html
The Third Wave: An Entrepreneur’s Vision of the Future,12.61,5,In stock,General,https://books.toscrape.com/catalogue/the-third-wave-an-entrepreneurs-vision-of-the-future_862/index.html
The Vacationers,42.15,4,In stock,General,https://books.toscrape.com/catalogue/the-vacationers_863/index.html
The Wedding Dress,24.12,1,In stock,General,https://books.toscrape.com/catalogue/the-wedding-dress_864/index.html
The White Cat and the Monk: A Retelling of the Poem “Pangur Bán”,58.08,4,In stock,General,https://books.toscrape.com/catalogue/the-white-cat-and-the-monk-a-retelling-of-the-poem-pangur-ban_865/index.html
Thirteen Reasons Why,52.72,1,In stock,General,https://books.toscrape.com/catalogue/thirteen-reasons-why_866/index.html
Thomas Jefferson and the Tripoli Pirates: The Forgotten War That Changed American History,59.64,1,In stock,General,https://books.toscrape.com/catalogue/thomas-jefferson-and-the-tripoli-pirates-the-forgotten-war-that-changed-american-history_867/index.html
Throne of Glass (Throne of Glass #1),35.07,3,In stock,General,https://books.toscrape.com/catalogue/throne-of-glass-throne-of-glass-1_868/index.html
The Cookies & Cups Cookbook: 125+ sweet & savory recipes reminding you to Always Eat Dessert First,41.25,1,In stock,General,https://books.toscrape.com/catalogue/the-cookies-cups-cookbook-125-sweet-savory-recipes-reminding-you-to-always-eat-dessert-first_841/index.html
The Emerald Mystery,23.15,2,In stock,General,https://books.toscrape.com/catalogue/the-emerald-mystery_842/index.html
The Genius of Birds,17.24,1,In stock,General,https://books.toscrape.com/catalogue/the-genius-of-birds_843/index.html
The Girl on the Train,55.02,2,In stock,General,https://books.toscrape.com/catalogue/the-girl-on-the-train_844/index.html
The Glittering Court (The Glittering Court #1),44.28,1,In stock,General,https://books.toscrape.com/catalogue/the-glittering-court-the-glittering-court-1_845/index.html
The House by the Lake,36.95,1,In stock,General,https://books.toscrape.com/catalogue/the-house-by-the-lake_846/index.html
The Kite Runner,41.82,4,In stock,General,https://books.toscrape.com/catalogue/the-kite-runner_847/index.html
The Long Shadow of Small Ghosts: Murder and Memory in an American City,10.97,1,In stock,General,https://books.toscrape.com/catalogue/the-long-shadow-of-small-ghosts-murder-and-memory-in-an-american-city_848/index.html
Mrs. Houdini,30.25,5,In stock,General,https://books.toscrape.com/catalogue/mrs-houdini_821/index.html
Night Sky with Exit Wounds,41.05,1,In stock,General,https://books.toscrape.com/catalogue/night-sky-with-exit-wounds_822/index.html
"Nightingale, Sing",38.28,1,In stock,General,https://books.toscrape.com/catalogue/nightingale-sing_823/index.html
Poems That Make Grown Women Cry,14.19,4,In stock,General,https://books.toscrape.com/catalogue/poems-that-make-grown-women-cry_824/index.html
Poses for Artists Volume 1 - Dynamic and Sitting Poses: An Essential Reference for Figure Drawing and the Human Form,41.06,1,In stock,General,https://books.toscrape.com/catalogue/poses-for-artists-volume-1-dynamic-and-sitting-poses-an-essential-reference-for-figure-drawing-and-the-human-form_825/index.html
Redeeming Love,20.47,5,In stock,General,https://books.toscrape.com/catalogue/redeeming-love_826/index.html
Romero and Juliet: A Tragic Tale of Love and Zombies,36.94,1,In stock,General,https://books.toscrape.com/catalogue/romero-and-juliet-a-tragic-tale-of-love-and-zombies_827/index.html
Scarlett Epstein Hates It Here,43.55,5,In stock,General,https://books.toscrape.com/catalogue/scarlett-epstein-hates-it-here_828/index.html
"Deliciously Ella Every Day: Quick and Easy Recipes for Gluten-Free Snacks, Packed Lunches, and Simple Meals",42.16,3,In stock,General,https://books.toscrape.com/catalogue/deliciously-ella-every-day-quick-and-easy-recipes-for-gluten-free-snacks-packed-lunches-and-simple-meals_801/index.html
Doing It Over (Most Likely To #1),35.61,3,In stock,General,https://books.toscrape.com/catalogue/doing-it-over-most-likely-to-1_802/index.html
Done Rubbed Out (Reightman & Bailey #1),37.72,5,In stock,General,https://books.toscrape.com/catalogue/done-rubbed-out-reightman-bailey-1_803/index.html
Drive: The Surprising Truth About What Motivates Us,34.95,4,In stock,General,https://books.toscrape.com/catalogue/drive-the-surprising-truth-about-what-motivates-us_804/index.html
Eureka Trivia 6.0,54.59,4,In stock,General,https://books.toscrape.com/catalogue/eureka-trivia-60_805/index.html
"Fables, Vol. 1: Legends in Exile (Fables #1)",41.62,4,In stock,General,https://books.toscrape.com/catalogue/fables-vol-1-legends-in-exile-fables-1_806/index.html
Finders Keepers (Bill Hodges Trilogy #2),53.53,5,In stock,General,https://books.toscrape.com/catalogue/finders-keepers-bill-hodges-trilogy-2_807/index.html
First Steps for New Christians (Print Edition),29.0,1,In stock,General,https://books.toscrape.com/catalogue/first-steps-for-new-christians-print-edition_808/index.html
Follow You Home,21.36,1,In stock,General,https://books.toscrape.com/catalogue/follow-you-home_809/index.html
Frostbite (Vampire Academy #2),29.99,5,In stock,General,https://books.toscrape.com/catalogue/frostbite-vampire-academy-2_810/index.html
Full Moon over Noah’s Ark: An Odyssey to Mount Ararat and Beyond,49.43,4,In stock,General,https://books.toscrape.com/catalogue/full-moon-over-noahs-ark-an-odyssey-to-mount-ararat-and-beyond_811/index.html
Grumbles,22.16,2,In stock,General,https://books.toscrape.com/catalogue/grumbles_812/index.html
Hollow City (Miss Peregrine’s Peculiar Children #2),42.98,1,In stock,General,https://books.toscrape.com/catalogue/hollow-city-miss-peregrines-peculiar-children-2_813/index.html
I Had a Nice Time And Other Lies...: How to find love & sh*t like that,57.36,4,In stock,General,https://books.toscrape.com/catalogue/i-had-a-nice-time-and-other-lies-how-to-find-love-sht-like-that_814/index.html
Large Print Heart of the Pride,19.15,2,In stock,General,https://books.toscrape.com/catalogue/large-print-heart-of-the-pride_815/index.html
Library of Souls (Miss Peregrine’s Peculiar Children #3),48.56,5,In stock,General,https://books.toscrape.com/catalogue/library-of-souls-miss-peregrines-peculiar-children-3_816/index.html
Little Red,13.47,3,In stock,General,https://books.toscrape.com/catalogue/little-red_817/index.html
Louisa: The Extraordinary Life of Mrs. Adams,16.85,2,In stock,General,https://books.toscrape.com/catalogue/louisa-the-extraordinary-life-of-mrs-adams_818/index.html
Miss Peregrine’s Home for Peculiar Children (Miss Peregrine’s Peculiar Children #1),10.76,1,In stock,General,https://books.toscrape.com/catalogue/miss-peregrines-home-for-peculiar-children-miss-peregrines-peculiar-children-1_819/index.html
Modern Romance,28.26,5,In stock,General,https://books.toscrape.com/catalogue/modern-romance_820/index.html
Secrets and Lace (Fatal Hearts #1),20.27,1,In stock,General,https://books.toscrape.com/catalogue/secrets-and-lace-fatal-hearts-1_829/index.html
"Shobu Samurai, Project Aryoku (#3)",29.06,3,In stock,General,https://books.toscrape.com/catalogue/shobu-samurai-project-aryoku-3_830/index.html
Shoe Dog: A Memoir by the Creator of NIKE,23.99,2,In stock,General,https://books.toscrape.com/catalogue/shoe-dog-a-memoir-by-the-creator-of-nike_831/index.html
So You've Been Publicly Shamed,12.23,2,In stock,General,https://books.toscrape.com/catalogue/so-youve-been-publicly-shamed_832/index.html
Soft Apocalypse,26.12,2,In stock,General,https://books.toscrape.com/catalogue/soft-apocalypse_833/index.html
Something More Than This,16.24,4,In stock,General,https://books.toscrape.com/catalogue/something-more-than-this_834/index.html
Suddenly in Love (Lake Haven #1),55.99,2,In stock,General,https://books.toscrape.com/catalogue/suddenly-in-love-lake-haven-1_835/index.html
The 10% Entrepreneur: Live Your Startup Dream Without Quitting Your Day Job,27.55,3,In stock,General,https://books.toscrape.com/catalogue/the-10-entrepreneur-live-your-startup-dream-without-quitting-your-day-job_836/index.html
The Argonauts,10.93,2,In stock,General,https://books.toscrape.com/catalogue/the-argonauts_837/index.html
The Art of War,33.34,5,In stock,General,https://books.toscrape.com/catalogue/the-art-of-war_838/index.html
The Artist's Way: A Spiritual Path to Higher Creativity,38.49,5,In stock,General,https://books.toscrape.com/catalogue/the-artists-way-a-spiritual-path-to-higher-creativity_839/index.html
The Bridge to Consciousness: I'm Writing the Bridge Between Science and Our Old and New Beliefs.,32.0,3,In stock,General,https://books.toscrape.com/catalogue/the-bridge-to-consciousness-im-writing-the-bridge-between-science-and-our-old-and-new-beliefs_840/index.html
The Love and Lemons Cookbook: An Apple-to-Zucchini Celebration of Impromptu Cooking,37.6,2,In stock,General,https://books.toscrape.com/catalogue/the-love-and-lemons-cookbook-an-apple-to-zucchini-celebration-of-impromptu-cooking_849/index.html
The Matchmaker's Playbook (Wingmen Inc. #1),55.85,1,In stock,General,https://books.toscrape.com/catalogue/the-matchmakers-playbook-wingmen-inc-1_850/index.html
The Mistake (Off-Campus #2),43.29,3,In stock,General,https://books.toscrape.com/catalogue/the-mistake-off-campus-2_851/index.html
The Murder of Roger Ackroyd (Hercule Poirot #4),44.1,4,In stock,General,https://books.toscrape.com/catalogue/the-murder-of-roger-ackroyd-hercule-poirot-4_852/index.html
The Nerdy Nummies Cookbook: Sweet Treats for the Geek in All of Us,37.34,5,In stock,General,https://books.toscrape.com/catalogue/the-nerdy-nummies-cookbook-sweet-treats-for-the-geek-in-all-of-us_853/index.html
The Omnivore's Dilemma: A Natural History of Four Meals,38.21,2,In stock,General,https://books.toscrape.com/catalogue/the-omnivores-dilemma-a-natural-history-of-four-meals_854/index.html
The Power of Now: A Guide to Spiritual Enlightenment,43.54,2,In stock,General,https://books.toscrape.com/catalogue/the-power-of-now-a-guide-to-spiritual-enlightenment_855/index.html
The Project,10.65,1,In stock,General,https://books.toscrape.com/catalogue/the-project_856/index.html
The Psychopath Test: A Journey Through the Madness Industry,36.0,2,In stock,General,https://books.toscrape.com/catalogue/the-psychopath-test-a-journey-through-the-madness-industry_857/index.html
The Regional Office Is Under Attack!,51.36,5,In stock,General,https://books.toscrape.com/catalogue/the-regional-office-is-under-attack_858/index.html
The Secret (The Secret #1),27.37,4,In stock,General,https://books.toscrape.com/catalogue/the-secret-the-secret-1_859/index.html
The Shadow Hero (The Shadow Hero),33.14,1,In stock,General,https://books.toscrape.com/catalogue/the-shadow-hero-the-shadow-hero_860/index.html
Tracing Numbers on a Train,41.6,3,In stock,General,https://books.toscrape.com/catalogue/tracing-numbers-on-a-train_869/index.html
Tuesday Nights in 1980,21.04,2,In stock,General,https://books.toscrape.com/catalogue/tuesday-nights-in-1980_870/index.html
"William Shakespeare's Star Wars: Verily, A New Hope (William Shakespeare's Star Wars #4)",43.3,4,In stock,General,https://books.toscrape.com/catalogue/william-shakespeares-star-wars-verily-a-new-hope-william-shakespeares-star-wars-4_871/index.html
You Are What You Love: The Spiritual Power of Habit,21.87,4,In stock,General,https://books.toscrape.com/catalogue/you-are-what-you-love-the-spiritual-power-of-habit_872/index.html
(Un)Qualified: How God Uses Broken People to Do Big Things,54.0,5,In stock,General,https://books.toscrape.com/catalogue/unqualified-how-god-uses-broken-people-to-do-big-things_873/index.html
A Court of Thorns and Roses (A Court of Thorns and Roses #1),52.37,1,In stock,General,https://books.toscrape.com/catalogue/a-court-of-thorns-and-roses-a-court-of-thorns-and-roses-1_874/index.html
A Fierce and Subtle Poison,28.13,4,In stock,General,https://books.toscrape.com/catalogue/a-fierce-and-subtle-poison_875/index.html
A Flight of Arrows (The Pathfinders #2),55.53,5,In stock,General,https://books.toscrape.com/catalogue/a-flight-of-arrows-the-pathfinders-2_876/index.html
A Murder in Time,16.64,1,In stock,General,https://books.toscrape.com/catalogue/a-murder-in-time_877/index.html
"A Piece of Sky, a Grain of Rice: A Memoir in Four Meditations",56.76,5,In stock,General,https://books.toscrape.com/catalogue/a-piece-of-sky-a-grain-of-rice-a-memoir-in-four-meditations_878/index.html
A World of Flavor: Your Gluten Free Passport,42.95,1,In stock,General,https://books.toscrape.com/catalogue/a-world-of-flavor-your-gluten-free-passport_879/index.html
Algorithms to Live By: The Computer Science of Human Decisions,30.81,1,In stock,General,https://books.toscrape.com/catalogue/algorithms-to-live-by-the-computer-science-of-human-decisions_880/index.html
Danganronpa Volume 1,51.99,4,In stock,General,https://books.toscrape.com/catalogue/danganronpa-volume-1_889/index.html
"Don't Be a Jerk: And Other Practical Advice from Dogen, Japan's Greatest Zen Master",37.97,2,In stock,General,https://books.toscrape.com/catalogue/dont-be-a-jerk-and-other-practical-advice-from-dogen-japans-greatest-zen-master_890/index.html
Everydata: The Misinformation Hidden in the Little Data You Consume Every Day,54.35,2,In stock,General,https://books.toscrape.com/catalogue/everydata-the-misinformation-hidden-in-the-little-data-you-consume-every-day_891/index.html
Fifty Shades Darker (Fifty Shades #2),21.96,1,In stock,General,https://books.toscrape.com/catalogue/fifty-shades-darker-fifty-shades-2_892/index.html
First and First (Five Boroughs #3),15.97,4,In stock,General,https://books.toscrape.com/catalogue/first-and-first-five-boroughs-3_893/index.html
Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton,29.69,3,In stock,General,https://books.toscrape.com/catalogue/forever-and-forever-the-courtship-of-henry-longfellow-and-fanny-appleton_894/index.html
"Giant Days, Vol. 2 (Giant Days #5-8)",22.11,2,In stock,General,https://books.toscrape.com/catalogue/giant-days-vol-2-giant-days-5-8_895/index.html
Her Backup Boyfriend (The Sorensen Family #1),33.97,1,In stock,General,https://books.toscrape.com/catalogue/her-backup-boyfriend-the-sorensen-family-1_896/index.html
How to Be Miserable: 40 Strategies You Already Use,46.03,1,In stock,General,https://books.toscrape.com/catalogue/how-to-be-miserable-40-strategies-you-already-use_897/index.html
I am a Hero Omnibus Volume 1,54.63,3,In stock,General,https://books.toscrape.com/catalogue/i-am-a-hero-omnibus-volume-1_898/index.html
"I Hate Fairyland, Vol. 1: Madly Ever After (I Hate Fairyland (Compilations) #1-5)",29.17,2,In stock,General,https://books.toscrape.com/catalogue/i-hate-fairyland-vol-1-madly-ever-after-i-hate-fairyland-compilations-1-5_899/index.html
Immunity: How Elie Metchnikoff Changed the Course of Modern Medicine,57.36,5,In stock,General,https://books.toscrape.com/catalogue/immunity-how-elie-metchnikoff-changed-the-course-of-modern-medicine_900/index.html
Masks and Shadows,56.4,2,In stock,General,https://books.toscrape.com/catalogue/masks-and-shadows_909/index.html
My Paris Kitchen: Recipes and Stories,33.37,2,In stock,General,https://books.toscrape.com/catalogue/my-paris-kitchen-recipes-and-stories_910/index.html
Obsidian (Lux #1),14.86,2,In stock,General,https://books.toscrape.com/catalogue/obsidian-lux-1_911/index.html
On a Midnight Clear,14.07,3,In stock,General,https://books.toscrape.com/catalogue/on-a-midnight-clear_912/index.html
Online Marketing for Busy Authors: A Step-By-Step Guide,46.35,1,In stock,General,https://books.toscrape.com/catalogue/online-marketing-for-busy-authors-a-step-by-step-guide_913/index.html
orange: The Complete Collection 1 (orange: The Complete Collection #1),48.41,1,In stock,General,https://books.toscrape.com/catalogue/orange-the-complete-collection-1-orange-the-complete-collection-1_914/index.html
"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",15.44,4,In stock,General,https://books.toscrape.com/catalogue/outcast-vol-1-a-darkness-surrounds-him-outcast-1_915/index.html
Patience,10.16,3,In stock,General,https://books.toscrape.com/catalogue/patience_916/index.html
"Political Suicide: Missteps, Peccadilloes, Bad Calls, Backroom Hijinx, Sordid Pasts, Rotten Breaks, and Just Plain Dumb Mistakes in the Annals of American Politics",36.28,2,In stock,General,https://books.toscrape.com/catalogue/political-suicide-missteps-peccadilloes-bad-calls-backroom-hijinx-sordid-pasts-rotten-breaks-and-just-plain-dumb-mistakes-in-the-annals-of-american-politics_917/index.html
"Pop Gun War, Volume 1: Gift",18.97,1,In stock,General,https://books.toscrape.com/catalogue/pop-gun-war-volume-1-gift_918/index.html
Princess Between Worlds (Wide-Awake Princess #5),13.34,5,In stock,General,https://books.toscrape.com/catalogue/princess-between-worlds-wide-awake-princess-5_919/index.html
"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",13.61,5,In stock,General,https://books.toscrape.com/catalogue/princess-jellyfish-2-in-1-omnibus-vol-01-princess-jellyfish-2-in-1-omnibus-1_920/index.html
The Age of Genius: The Seventeenth Century and the Birth of the Modern Mind,19.73,1,In stock,General,https://books.toscrape.com/catalogue/the-age-of-genius-the-seventeenth-century-and-the-birth-of-the-modern-mind_929/index.html
The Art Forger,40.76,3,In stock,General,https://books.toscrape.com/catalogue/the-art-forger_930/index.html
"The Bulletproof Diet: Lose up to a Pound a Day, Reclaim Energy and Focus, Upgrade Your Life",49.05,3,In stock,General,https://books.toscrape.com/catalogue/the-bulletproof-diet-lose-up-to-a-pound-a-day-reclaim-energy-and-focus-upgrade-your-life_931/index.html
The Death of Humanity: and the Case for Life,58.11,4,In stock,General,https://books.toscrape.com/catalogue/the-death-of-humanity-and-the-case-for-life_932/index.html
The Electric Pencil: Drawings from Inside State Hospital No. 3,56.06,1,In stock,General,https://books.toscrape.com/catalogue/the-electric-pencil-drawings-from-inside-state-hospital-no-3_933/index.html
The Gutsy Girl: Escapades for Your Life of Epic Adventure,37.13,1,In stock,General,https://books.toscrape.com/catalogue/the-gutsy-girl-escapades-for-your-life-of-epic-adventure_934/index.html
"The Inefficiency Assassin: Time Management Tactics for Working Smarter, Not Longer",20.59,5,In stock,General,https://books.toscrape.com/catalogue/the-inefficiency-assassin-time-management-tactics-for-working-smarter-not-longer_935/index.html
The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,16.77,3,In stock,General,https://books.toscrape.com/catalogue/the-life-changing-magic-of-tidying-up-the-japanese-art-of-decluttering-and-organizing_936/index.html
"The Mindfulness and Acceptance Workbook for Anxiety: A Guide to Breaking Free from Anxiety, Phobias, and Worry Using Acceptance and Commitment Therapy",23.89,4,In stock,General,https://books.toscrape.com/catalogue/the-mindfulness-and-acceptance-workbook-for-anxiety-a-guide-to-breaking-free-from-anxiety-phobias-and-worry-using-acceptance-and-commitment-therapy_937/index.html
The Most Perfect Thing: Inside (and Outside) a Bird's Egg,42.96,4,In stock,General,https://books.toscrape.com/catalogue/the-most-perfect-thing-inside-and-outside-a-birds-egg_938/index.html
The Murder That Never Was (Forensic Instincts #5),54.11,3,In stock,General,https://books.toscrape.com/catalogue/the-murder-that-never-was-forensic-instincts-5_939/index.html
The Nameless City (The Nameless City #1),38.16,4,In stock,General,https://books.toscrape.com/catalogue/the-nameless-city-the-nameless-city-1_940/index.html
Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),16.28,1,In stock,General,https://books.toscrape.com/catalogue/tsubasa-world-chronicle-2-tsubasa-world-chronicle-2_949/index.html
"Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink",25.52,1,In stock,General,https://books.toscrape.com/catalogue/unbound-how-eight-technologies-made-us-human-transformed-society-and-brought-our-world-to-the-brink_950/index.html
Unicorn Tracks,18.78,3,In stock,General,https://books.toscrape.com/catalogue/unicorn-tracks_951/index.html
"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",44.18,4,In stock,General,https://books.toscrape.com/catalogue/unseen-city-the-majesty-of-pigeons-the-discreet-charm-of-snails-other-wonders-of-the-urban-wilderness_952/index.html
Untitled Collection: Sabbath Poems 2014,14.27,4,In stock,General,https://books.toscrape.com/catalogue/untitled-collection-sabbath-poems-2014_953/index.html
"We Love You, Charlie Freeman",50.27,5,In stock,General,https://books.toscrape.com/catalogue/we-love-you-charlie-freeman_954/index.html
When We Collided,31.77,1,In stock,General,https://books.toscrape.com/catalogue/when-we-collided_955/index.html
Without Borders (Wanderlove #1),45.07,2,In stock,General,https://books.toscrape.com/catalogue/without-borders-wanderlove-1_956/index.html
#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,23.11,5,In stock,General,https://books.toscrape.com/catalogue/higherselfie-wake-up-your-life-free-your-soul-find-your-tribe_957/index.html
Private Paris (Private #10),47.61,5,In stock,General,https://books.toscrape.com/catalogue/private-paris-private-10_958/index.html
Reasons to Stay Alive,26.41,2,In stock,General,https://books.toscrape.com/catalogue/reasons-to-stay-alive_959/index.html
Slow States of Collapse: Poems,57.31,3,In stock,General,https://books.toscrape.com/catalogue/slow-states-of-collapse-poems_960/index.html
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,31.05,3,In stock,General,https://books.toscrape.com/catalogue/the-five-love-languages-how-to-express-heartfelt-commitment-to-your-mate_969/index.html
The Four Agreements: A Practical Guide to Personal Freedom,17.66,5,In stock,General,https://books.toscrape.com/catalogue/the-four-agreements-a-practical-guide-to-personal-freedom_970/index.html
Wall and Piece,44.18,4,In stock,General,https://books.toscrape.com/catalogue/wall-and-piece_971/index.html
